host_identity_verified,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365
unconfirmed,Bronx,Parkchester,40.83049,-73.87354,False,strict,Shared room,2011,481.0,96.0,3,9,0.26,5.0,2,230
verified,Brooklyn,Bedford-Stuyvesant,40.6887,-73.93536,False,flexible,Entire home/apt,2003,880.0,176.0,2,80,2.09,5.0,3,26
unconfirmed,Manhattan,East Village,40.72889,-73.98006,False,strict,Entire home/apt,2018,190.0,38.0,3,33,0.9,4.0,2,69
unconfirmed,Brooklyn,Crown Heights,40.67493,-73.96195,False,flexible,Entire home/apt,2019,141.0,28.0,3,0,0.74,5.0,1,170
verified,Manhattan,Upper West Side,40.79458,-73.97077,True,strict,Entire home/apt,2012,501.0,100.0,2,7,0.18,5.0,1,95
unconfirmed,Brooklyn,Williamsburg,40.71264,-73.94751,False,strict,Private room,2009,767.0,153.0,1,1,0.03,2.0,1,369
unconfirmed,Manhattan,Upper West Side,40.78175,-73.97576,True,strict,Entire home/apt,2004,378.0,76.0,1,1,0.03,2.0,1,381
verified,Manhattan,East Village,40.72886,-73.9863,True,strict,Private room,2017,486.0,97.0,18,6,0.17,4.0,1,305
verified,Manhattan,Kips Bay,40.74141,-73.97868,False,strict,Entire home/apt,2020,977.0,195.0,30,2,0.16,5.0,52,66
verified,Brooklyn,Bedford-Stuyvesant,40.68633,-73.93557,False,strict,Private room,2017,585.0,117.0,7,1,0.03,3.0,2,213
verified,Brooklyn,Bushwick,40.6898,-73.91774,True,moderate,Entire home/apt,2012,920.0,184.0,2,104,2.75,5.0,1,18
verified,Manhattan,Lower East Side,40.71981,-73.99154,False,moderate,Entire home/apt,2003,1094.0,219.0,2,1,0.03,1.0,1,36
verified,Manhattan,Inwood,40.86612,-73.9189,True,strict,Entire home/apt,2019,917.0,183.0,6,1,0.03,2.0,1,2
verified,Brooklyn,Bushwick,40.69021,-73.92207,False,strict,Private room,2003,969.0,194.0,2,57,1.52,5.0,2,-8
verified,Manhattan,Hell's Kitchen,40.76222,-73.99889,True,flexible,Entire home/apt,2019,865.0,173.0,30,2,0.1,1.0,121,225
verified,Brooklyn,Bushwick,40.69024,-73.92197,True,moderate,Private room,2007,485.0,97.0,2,77,2.04,2.0,2,137
unconfirmed,Brooklyn,Vinegar Hill,40.70196,-73.98297,True,moderate,Entire home/apt,2003,1186.0,237.0,30,0,0.74,2.0,1,76
unconfirmed,Manhattan,Hell's Kitchen,40.76455,-73.99128,False,moderate,Shared room,2011,161.0,32.0,3,0,0.74,3.0,1,257
unconfirmed,Brooklyn,Windsor Terrace,40.65254,-73.98017,True,strict,Private room,2009,677.0,135.0,1,4,0.1,5.0,4,258
unconfirmed,Brooklyn,Bushwick,40.7029,-73.9296,False,flexible,Private room,2022,455.0,91.0,3,5,0.14,2.0,1,248
verified,Brooklyn,Bedford-Stuyvesant,40.68645,-73.93994,True,flexible,Private room,2019,1179.0,236.0,5,1,0.03,4.0,1,63
unconfirmed,Brooklyn,Bushwick,40.70219,-73.9227,False,moderate,Private room,2007,567.0,113.0,1,98,2.58,3.0,1,48
unconfirmed,Manhattan,Upper West Side,40.80045,-73.96119,False,moderate,Private room,2012,970.0,194.0,3,5,0.13,2.0,1,368
unconfirmed,Manhattan,Chelsea,40.7453,-73.99333,False,strict,Entire home/apt,2008,408.0,82.0,30,1,0.03,5.0,2,193
unconfirmed,Manhattan,Harlem,40.81806,-73.95374,True,flexible,Entire home/apt,2004,888.0,178.0,1,49,1.3,5.0,2,146
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.70017,-73.94357,True,moderate,Entire home/apt,2014,169.0,34.0,3,2,0.05,3.0,1,140
unconfirmed,Brooklyn,Brooklyn Heights,40.69183,-73.99592,False,flexible,Entire home/apt,2011,61.0,12.0,1,107,2.84,4.0,1,108
unconfirmed,Brooklyn,Greenpoint,40.72311,-73.94489,True,flexible,Private room,2020,834.0,167.0,2,15,0.55,5.0,2,107
unconfirmed,Manhattan,Upper East Side,40.76635,-73.95683,False,strict,Private room,2013,168.0,34.0,5,1,0.03,2.0,2,329
verified,Manhattan,Harlem,40.83018,-73.9483,True,moderate,Private room,2016,349.0,70.0,1,116,3.06,1.0,4,323
unconfirmed,Bronx,Fordham,40.85396,-73.89872,True,flexible,Private room,2021,596.0,119.0,1,2,0.05,1.0,1,348
unconfirmed,Brooklyn,Williamsburg,40.70944,-73.9492,False,strict,Entire home/apt,2019,204.0,41.0,7,6,0.16,3.0,1,283
unconfirmed,Manhattan,Upper West Side,40.77998,-73.98018,False,strict,Entire home/apt,2013,989.0,198.0,1,0,0.74,3.0,1,103
unconfirmed,Queens,Ditmars Steinway,40.77374,-73.91903,True,flexible,Private room,2014,700.0,140.0,5,0,0.74,3.0,1,271
unconfirmed,Manhattan,Financial District,40.70951,-74.01476,True,strict,Entire home/apt,2005,334.0,67.0,32,99,2.73,1.0,1,341
verified,Brooklyn,Bushwick,40.70267,-73.92383,True,moderate,Private room,2019,542.0,108.0,1,2,0.05,3.0,1,309
verified,Manhattan,East Village,40.72859,-73.98348,True,flexible,Entire home/apt,2008,184.0,37.0,2,32,0.84,1.0,1,171
verified,Manhattan,East Village,40.72501,-73.98776,True,moderate,Private room,2009,894.0,179.0,1,5,0.13,4.0,4,224
unconfirmed,Brooklyn,Sunset Park,40.63833,-74.01794,True,moderate,Private room,2016,910.0,182.0,5,89,2.34,3.0,4,100
unconfirmed,Manhattan,Hell's Kitchen,40.76504,-73.99491,False,moderate,Entire home/apt,2012,394.0,79.0,30,4,0.12,3.0,31,394
verified,Queens,Long Island City,40.76591,-73.93434,False,moderate,Private room,2020,362.0,72.0,2,49,1.29,2.0,1,68
verified,Manhattan,Washington Heights,40.84909,-73.93829,True,strict,Private room,2017,1142.0,228.0,2,2,0.08,5.0,1,250
unconfirmed,Staten Island,Richmondtown,40.57093,-74.12429,True,strict,Entire home/apt,2020,212.0,42.0,3,79,2.56,2.0,1,53
verified,Brooklyn,Williamsburg,40.71827,-73.95494,False,moderate,Entire home/apt,2014,406.0,81.0,3,51,1.36,5.0,3,226
unconfirmed,Manhattan,Upper West Side,40.79832,-73.96291,True,moderate,Private room,2006,769.0,154.0,2,1,0.11,5.0,1,141
unconfirmed,Manhattan,Hell's Kitchen,40.76319,-73.98693,True,strict,Entire home/apt,2018,379.0,76.0,3,0,0.74,3.0,1,240
unconfirmed,Manhattan,Chelsea,40.73737,-73.99475,True,strict,Entire home/apt,2011,664.0,133.0,1,0,0.74,2.0,1,268
unconfirmed,Manhattan,Upper West Side,40.78528,-73.97111,True,flexible,Entire home/apt,2009,987.0,197.0,20,0,0.74,5.0,1,290
unconfirmed,Manhattan,Upper West Side,40.78116,-73.98104,True,flexible,Entire home/apt,2022,1039.0,208.0,1,11,0.33,3.0,2,360
unconfirmed,Brooklyn,Williamsburg,40.71559,-73.96385,False,moderate,Entire home/apt,2008,609.0,122.0,4,42,1.11,1.0,1,141
verified,Brooklyn,Flatbush,40.65255,-73.96227,True,flexible,Shared room,2020,214.0,43.0,1,1,0.03,1.0,1,261
unconfirmed,Brooklyn,Clinton Hill,40.69093,-73.96507,False,flexible,Private room,2007,620.0,124.0,5,0,0.74,5.0,1,288
verified,Manhattan,Murray Hill,40.74933,-73.97937,False,strict,Private room,2010,934.0,187.0,1,31,0.81,1.0,2,162
verified,Queens,Maspeth,40.72075,-73.89496,True,flexible,Private room,2019,203.0,41.0,1,60,1.57,1.0,3,92
unconfirmed,Manhattan,Upper West Side,40.80077,-73.9681,True,moderate,Entire home/apt,2003,448.0,90.0,6,5,0.14,3.0,1,22
unconfirmed,Manhattan,Lower East Side,40.71772,-73.98882,True,flexible,Entire home/apt,2010,246.0,49.0,3,104,2.79,4.0,1,94
unconfirmed,Queens,Maspeth,40.72143,-73.8932,False,strict,Private room,2003,463.0,93.0,1,37,0.97,4.0,3,294
verified,Queens,Maspeth,40.72103,-73.89458,True,flexible,Private room,2009,206.0,41.0,1,30,0.78,2.0,3,184
verified,Queens,Kew Gardens,40.70542,-73.82979,True,flexible,Shared room,2011,90.0,18.0,1,8,0.73,4.0,2,248
verified,Brooklyn,Prospect Heights,40.675,-73.96406,False,strict,Private room,2006,974.0,195.0,2,46,1.19,5.0,1,422
verified,Brooklyn,Flatbush,40.65421,-73.95945,False,flexible,Entire home/apt,2020,595.0,119.0,4,7,0.18,1.0,1,21
unconfirmed,Brooklyn,Sunset Park,40.64748,-73.99802,True,flexible,Private room,2010,506.0,101.0,3,2,0.05,5.0,1,207
verified,Brooklyn,Bedford-Stuyvesant,40.7001,-73.94326,False,moderate,Private room,2010,121.0,24.0,4,36,0.96,2.0,1,183
unconfirmed,Brooklyn,Bushwick,40.70101,-73.92505,True,moderate,Entire home/apt,2003,1011.0,202.0,5,0,0.74,4.0,1,267
unconfirmed,Manhattan,Financial District,40.70725,-74.00206,False,moderate,Entire home/apt,2016,660.0,132.0,6,2,0.05,4.0,1,257
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.69116,-73.96039,False,moderate,Entire home/apt,2003,443.0,89.0,6,18,0.53,4.0,1,170
unconfirmed,Manhattan,Upper East Side,40.77301,-73.95045,False,strict,Entire home/apt,2014,364.0,73.0,30,1,0.13,1.0,87,258
unconfirmed,Manhattan,Upper West Side,40.80121,-73.96277,True,flexible,Entire home/apt,2011,452.0,90.0,10,2,0.09,1.0,1,98
unconfirmed,Brooklyn,Bushwick,40.68622,-73.91026,True,moderate,Private room,2011,1194.0,239.0,1,20,0.53,2.0,1,303
verified,Brooklyn,Windsor Terrace,40.65256,-73.9798,True,flexible,Private room,2021,147.0,29.0,1,1,0.03,1.0,4,424
verified,Brooklyn,Greenpoint,40.73547,-73.9545,True,moderate,Private room,2011,132.0,26.0,28,9,0.37,1.0,1,73
verified,Manhattan,Lower East Side,40.71884,-73.99294,True,moderate,Private room,2005,1003.0,201.0,2,3,0.08,2.0,2,340
verified,Manhattan,Upper East Side,40.77219,-73.95588,True,strict,Entire home/apt,2003,214.0,43.0,30,2,0.15,5.0,29,4
verified,Brooklyn,Williamsburg,40.72113,-73.95574,False,flexible,Entire home/apt,2012,456.0,91.0,2,3,0.08,3.0,1,19
verified,Manhattan,Harlem,40.82272,-73.95144,False,moderate,Private room,2013,943.0,189.0,29,2,0.08,3.0,1,147
verified,Brooklyn,South Slope,40.6617,-73.98221,False,flexible,Private room,2020,116.0,23.0,14,8,0.21,1.0,1,-4
verified,Queens,Ridgewood,40.70204,-73.91068,True,strict,Private room,2021,911.0,182.0,3,4,0.15,5.0,3,128
unconfirmed,Queens,Ridgewood,40.70435,-73.91207,True,flexible,Private room,2019,781.0,156.0,7,3,0.09,3.0,3,11
unconfirmed,Bronx,Fordham,40.86032,-73.88493,True,strict,Shared room,2012,1030.0,206.0,1,0,0.74,2.0,1,286
unconfirmed,Manhattan,Chelsea,40.74711,-73.99281,True,moderate,Private room,2018,872.0,174.0,1,2,0.05,3.0,2,143
unconfirmed,Manhattan,Chelsea,40.74583,-74.00451,False,flexible,Entire home/apt,2008,761.0,152.0,4,30,0.82,5.0,1,349
verified,Manhattan,Hell's Kitchen,40.76039,-73.99028,False,moderate,Entire home/apt,2016,350.0,70.0,2,80,2.11,2.0,1,354
verified,Manhattan,Morningside Heights,40.81488,-73.95886,True,flexible,Entire home/apt,2008,124.0,25.0,7,0,0.74,1.0,1,147
unconfirmed,Queens,Ridgewood,40.69284,-73.90348,True,strict,Private room,2019,1135.0,227.0,7,0,0.74,4.0,1,47
verified,Queens,Astoria,40.77091,-73.91875,True,flexible,Private room,2015,1141.0,228.0,2,36,0.96,5.0,2,153
unconfirmed,Manhattan,Hell's Kitchen,40.75484,-73.9922,False,moderate,Private room,2016,761.0,152.0,1,1,0.03,2.0,1,140
verified,Brooklyn,Crown Heights,40.66629,-73.93073,False,moderate,Entire home/apt,2004,1188.0,238.0,3,33,1.12,1.0,4,259
verified,Queens,Astoria,40.7691,-73.91994,False,flexible,Private room,2007,494.0,99.0,7,1,0.03,1.0,2,197
unconfirmed,Manhattan,Hell's Kitchen,40.76814,-73.98476,True,strict,Entire home/apt,2010,441.0,88.0,2,2,0.06,3.0,1,353
unconfirmed,Manhattan,Lower East Side,40.72151,-73.98814,True,moderate,Entire home/apt,2019,661.0,132.0,2,145,4.81,3.0,1,218
unconfirmed,Brooklyn,Red Hook,40.67498,-74.01169,False,strict,Entire home/apt,2007,881.0,176.0,3,11,0.29,5.0,1,67
unconfirmed,Brooklyn,Cobble Hill,40.68985,-73.99311,False,moderate,Entire home/apt,2010,367.0,73.0,5,18,0.87,3.0,1,289
unconfirmed,Manhattan,Lower East Side,40.7205,-73.98315,False,moderate,Entire home/apt,2004,401.0,80.0,2,16,0.44,1.0,1,309
verified,Brooklyn,Williamsburg,40.71685,-73.9615,False,strict,Entire home/apt,2021,748.0,150.0,2,4,0.15,1.0,1,363
verified,Brooklyn,Crown Heights,40.67968,-73.9595,False,moderate,Entire home/apt,2013,804.0,161.0,30,132,3.53,5.0,1,189
verified,Manhattan,Two Bridges,40.71098,-73.99296,True,moderate,Private room,2015,55.0,11.0,30,1,0.22,4.0,1,400
unconfirmed,Manhattan,Greenwich Village,40.73418,-73.99338,True,moderate,Entire home/apt,2020,673.0,135.0,3,5,0.16,2.0,1,361
unconfirmed,Manhattan,East Harlem,40.79193,-73.9439,True,moderate,Shared room,2021,307.0,61.0,1,52,1.41,3.0,1,192
unconfirmed,Manhattan,Kips Bay,40.74358,-73.98096,False,strict,Private room,2005,149.0,30.0,3,0,0.74,1.0,1,298
verified,Manhattan,Washington Heights,40.84524,-73.93508,False,strict,Private room,2009,345.0,69.0,90,17,0.49,2.0,3,30
unconfirmed,Manhattan,Harlem,40.80577,-73.94616,False,moderate,Entire home/apt,2015,164.0,33.0,4,1,0.08,1.0,6,50
verified,Manhattan,Harlem,40.80527,-73.94579,False,moderate,Private room,2020,637.0,127.0,2,3,0.09,2.0,6,241
unconfirmed,Queens,Rockaway Beach,40.58977,-73.81324,True,moderate,Entire home/apt,2021,1082.0,216.0,2,50,1.31,3.0,1,137
verified,Brooklyn,Clinton Hill,40.69475,-73.96848,False,strict,Private room,2010,548.0,110.0,1,3,0.08,2.0,1,277
verified,Manhattan,Upper West Side,40.798,-73.96317,True,moderate,Entire home/apt,2020,735.0,147.0,2,8,0.21,1.0,1,250
verified,Manhattan,Chinatown,40.71536,-73.99794,False,moderate,Entire home/apt,2011,790.0,158.0,2,3,0.08,2.0,1,165
unconfirmed,Brooklyn,Crown Heights,40.66789,-73.94351,False,flexible,Entire home/apt,2003,82.0,16.0,1,0,0.74,1.0,1,3
unconfirmed,Brooklyn,East Flatbush,40.64645,-73.95047,True,strict,Private room,2021,930.0,186.0,4,42,1.46,4.0,2,316
verified,Manhattan,West Village,40.73799,-74.00074,True,strict,Entire home/apt,2011,233.0,47.0,31,81,2.36,1.0,1,393
verified,Brooklyn,Williamsburg,40.70739,-73.94318,False,moderate,Private room,2003,915.0,183.0,2,1,0.03,3.0,1,50
unconfirmed,Brooklyn,Crown Heights,40.67251,-73.95334,False,flexible,Private room,2016,169.0,34.0,2,26,1.23,3.0,1,26
unconfirmed,Manhattan,Chinatown,40.71415,-73.99806,False,moderate,Private room,2009,675.0,135.0,2,6,0.17,4.0,2,82
verified,Manhattan,East Harlem,40.78804,-73.95382,True,moderate,Private room,2006,151.0,30.0,5,4,0.11,2.0,1,231
verified,Brooklyn,Flatbush,40.63887,-73.96667,False,moderate,Entire home/apt,2013,1003.0,201.0,3,32,0.85,1.0,1,255
verified,Manhattan,Chelsea,40.73596,-73.99228,False,strict,Entire home/apt,2011,484.0,97.0,5,22,0.58,1.0,1,266
verified,Manhattan,Financial District,40.70519,-74.0082,True,moderate,Entire home/apt,2010,871.0,174.0,30,0,0.74,3.0,87,92
verified,Manhattan,Kips Bay,40.74139,-73.9783,False,flexible,Entire home/apt,2006,350.0,70.0,2,7,0.18,1.0,1,137
unconfirmed,Manhattan,SoHo,40.72625,-74.00199,True,flexible,Entire home/apt,2010,1001.0,200.0,3,40,1.05,5.0,1,234
unconfirmed,Manhattan,Morningside Heights,40.81632,-73.96007,False,flexible,Entire home/apt,2017,1068.0,214.0,2,2,0.06,2.0,1,78
unconfirmed,Manhattan,Chelsea,40.74469,-73.99858,True,moderate,Entire home/apt,2004,1198.0,240.0,1,32,0.87,3.0,1,251
unconfirmed,Brooklyn,Williamsburg,40.70961,-73.96352,True,flexible,Private room,2010,895.0,179.0,1,37,1.07,1.0,1,264
unconfirmed,Brooklyn,Williamsburg,40.70772,-73.95978,True,strict,Entire home/apt,2020,995.0,199.0,3,13,0.35,5.0,2,242
unconfirmed,Manhattan,Harlem,40.82032,-73.94457,True,flexible,Private room,2003,800.0,160.0,3,0,0.74,2.0,1,113
unconfirmed,Manhattan,East Village,40.72669,-73.98792,False,flexible,Entire home/apt,2004,574.0,115.0,3,35,0.92,1.0,1,141
unconfirmed,Manhattan,Midtown,40.76232,-73.97614,False,moderate,Private room,2008,892.0,178.0,2,0,0.74,5.0,2,307
verified,Manhattan,Midtown,40.7533,-73.97346,True,flexible,Entire home/apt,2019,1157.0,231.0,3,16,0.43,2.0,3,233
verified,Brooklyn,Clinton Hill,40.69525,-73.96604,True,moderate,Private room,2022,1093.0,219.0,1,3,0.08,3.0,1,121
unconfirmed,Brooklyn,Williamsburg,40.71293,-73.9603,False,moderate,Entire home/apt,2020,1055.0,211.0,3,54,1.42,5.0,1,189
unconfirmed,Brooklyn,Prospect-Lefferts Gardens,40.65719,-73.95245,True,strict,Private room,2009,862.0,172.0,1,14,0.37,3.0,2,333
verified,Brooklyn,Bedford-Stuyvesant,40.68917,-73.95528,True,moderate,Private room,2014,248.0,50.0,1,0,0.74,1.0,1,218
verified,Manhattan,Lower East Side,40.72033,-73.98767,False,strict,Entire home/apt,2022,1096.0,219.0,1,9,0.24,5.0,1,52
verified,Queens,Ridgewood,40.70432,-73.90015,True,moderate,Entire home/apt,2017,1036.0,207.0,5,133,3.5,5.0,2,413
unconfirmed,Brooklyn,Flatbush,40.65359,-73.95631,True,flexible,Entire home/apt,2007,427.0,85.0,3,3,0.08,2.0,1,367
unconfirmed,Manhattan,Midtown,40.75303,-73.97327,False,strict,Entire home/apt,2019,1082.0,216.0,2,9,0.26,4.0,3,284
verified,Manhattan,Financial District,40.70645,-74.01144,False,flexible,Entire home/apt,2004,548.0,110.0,7,2,0.05,5.0,1,424
unconfirmed,Brooklyn,South Slope,40.66573,-73.98947,False,strict,Private room,2011,741.0,148.0,7,0,0.74,3.0,1,335
verified,Brooklyn,Williamsburg,40.70775,-73.94725,False,moderate,Private room,2009,1078.0,216.0,2,0,0.74,2.0,1,337
verified,Brooklyn,Crown Heights,40.67661,-73.95611,True,flexible,Entire home/apt,2010,954.0,191.0,1,5,0.13,2.0,1,17
unconfirmed,Brooklyn,Crown Heights,40.67218,-73.95368,False,flexible,Entire home/apt,2014,1104.0,221.0,2,70,1.85,3.0,1,372
unconfirmed,Manhattan,Midtown,40.75315,-73.97339,False,moderate,Entire home/apt,2006,667.0,133.0,2,3,0.1,3.0,3,421
unconfirmed,Brooklyn,Williamsburg,40.71214,-73.94992,True,moderate,Entire home/apt,2015,285.0,57.0,3,122,3.37,2.0,2,123
verified,Brooklyn,Flatbush,40.65272,-73.96127,True,flexible,Private room,2010,151.0,30.0,3,28,1.09,3.0,3,391
unconfirmed,Manhattan,Hell's Kitchen,40.76111,-73.99248,True,strict,Entire home/apt,2012,895.0,179.0,6,97,2.55,3.0,2,345
verified,Brooklyn,Bushwick,40.69499,-73.9283,True,strict,Private room,2011,908.0,182.0,1,251,6.68,5.0,7,198
unconfirmed,Brooklyn,Fort Greene,40.68715,-73.97388,False,moderate,Entire home/apt,2012,725.0,145.0,2,21,0.56,2.0,1,132
unconfirmed,Queens,Sunnyside,40.74625,-73.91643,True,moderate,Entire home/apt,2012,552.0,110.0,5,0,0.74,1.0,1,154
verified,Manhattan,East Village,40.72906,-73.98006,True,moderate,Private room,2014,254.0,51.0,3,2,0.05,4.0,1,348
verified,Manhattan,Chelsea,40.74574,-73.99633,True,flexible,Entire home/apt,2007,472.0,94.0,2,10,0.26,2.0,1,373
unconfirmed,Brooklyn,Bushwick,40.6905,-73.90834,False,moderate,Private room,2004,636.0,127.0,1,1,0.03,4.0,1,419
verified,Queens,Ditmars Steinway,40.77266,-73.90268,True,moderate,Shared room,2020,420.0,84.0,1,1,0.03,2.0,1,34
verified,Brooklyn,Williamsburg,40.7163,-73.94394,True,flexible,Entire home/apt,2010,96.0,19.0,2,22,0.59,2.0,1,0
verified,Queens,Sunnyside,40.74691,-73.91763,True,strict,Entire home/apt,2017,251.0,50.0,2,149,4.21,4.0,2,321
verified,Queens,Woodhaven,40.69617,-73.85204,False,strict,Private room,2010,563.0,113.0,1,235,6.15,4.0,4,14
unconfirmed,Manhattan,Financial District,40.70527,-74.00629,False,moderate,Entire home/apt,2014,523.0,105.0,1,2,0.05,2.0,1,205
verified,Brooklyn,Williamsburg,40.70879,-73.95235,True,moderate,Private room,2008,853.0,171.0,30,1,0.03,4.0,1,236
unconfirmed,Brooklyn,Bushwick,40.6928,-73.91614,False,strict,Private room,2012,855.0,171.0,1,5,0.13,3.0,2,30
unconfirmed,Brooklyn,Greenpoint,40.73356,-73.95808,True,strict,Private room,2020,173.0,35.0,1,2,0.05,4.0,1,-8
unconfirmed,Brooklyn,South Slope,40.6647,-73.98474,True,moderate,Entire home/apt,2004,700.0,140.0,4,4,0.11,5.0,1,307
unconfirmed,Manhattan,Midtown,40.74464,-73.98436,False,flexible,Private room,2011,998.0,200.0,20,4,0.11,4.0,1,58
unconfirmed,Manhattan,Chelsea,40.74632,-74.00431,False,strict,Entire home/apt,2012,327.0,65.0,29,0,0.74,3.0,1,193
unconfirmed,Manhattan,Financial District,40.70825,-74.01403,False,strict,Private room,2009,340.0,68.0,4,0,0.74,3.0,2,327
unconfirmed,Manhattan,Upper East Side,40.7775,-73.95262,False,strict,Shared room,2016,647.0,129.0,30,20,0.53,3.0,6,83
unconfirmed,Brooklyn,Flatbush,40.64053,-73.95785,False,flexible,Entire home/apt,2010,492.0,98.0,2,21,0.55,2.0,1,417
verified,Brooklyn,Bushwick,40.68754,-73.91265,True,strict,Private room,2016,840.0,168.0,3,33,0.86,1.0,1,142
unconfirmed,Manhattan,Upper East Side,40.77854,-73.95073,False,strict,Shared room,2020,1194.0,239.0,30,22,0.58,5.0,6,3
verified,Manhattan,Upper East Side,40.77927,-73.95071,True,flexible,Shared room,2004,996.0,199.0,30,22,0.58,5.0,6,124
verified,Manhattan,Upper East Side,40.77903,-73.95238,True,flexible,Shared room,2015,59.0,12.0,30,22,0.58,1.0,6,374
verified,Manhattan,Upper East Side,40.77736,-73.95144,True,flexible,Private room,2014,256.0,51.0,30,79,2.08,5.0,6,393
unconfirmed,Manhattan,Washington Heights,40.83805,-73.94307,False,moderate,Entire home/apt,2014,927.0,185.0,2,17,0.45,1.0,1,59
unconfirmed,Brooklyn,Williamsburg,40.71862,-73.94216,False,strict,Private room,2022,1195.0,239.0,7,0,0.74,1.0,2,314
unconfirmed,Brooklyn,Fort Greene,40.68748,-73.97397,False,strict,Entire home/apt,2012,323.0,65.0,3,19,0.51,1.0,1,414
unconfirmed,Manhattan,Murray Hill,40.74688,-73.97813,True,strict,Entire home/apt,2021,945.0,189.0,2,100,2.63,1.0,1,58
unconfirmed,Brooklyn,Crown Heights,40.67533,-73.95545,False,moderate,Entire home/apt,2006,218.0,44.0,1,121,3.17,1.0,1,209
verified,Brooklyn,Bushwick,40.69029,-73.91899,False,strict,Shared room,2004,275.0,55.0,1,25,0.66,3.0,1,224
unconfirmed,Brooklyn,Bay Ridge,40.63095,-74.03026,False,flexible,Private room,2015,345.0,69.0,90,1,0.03,2.0,2,132
unconfirmed,Manhattan,Chelsea,40.74472,-74.00095,True,flexible,Entire home/apt,2015,810.0,162.0,1,50,1.33,2.0,1,349
verified,Brooklyn,Windsor Terrace,40.65841,-73.97753,True,strict,Entire home/apt,2007,547.0,109.0,1,74,2.03,1.0,3,126
unconfirmed,Brooklyn,Crown Heights,40.67619,-73.93866,False,strict,Private room,2016,1155.0,231.0,1,0,0.74,2.0,1,74
unconfirmed,Brooklyn,Brownsville,40.66783,-73.92192,False,flexible,Private room,2015,85.0,17.0,2,104,2.72,5.0,3,174
verified,Manhattan,Harlem,40.81569,-73.94622,True,strict,Private room,2003,711.0,142.0,1,0,0.74,5.0,1,198
unconfirmed,Manhattan,Financial District,40.7034,-74.00787,True,moderate,Entire home/apt,2012,471.0,94.0,30,2,0.1,2.0,96,61
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.69349,-73.93031,True,moderate,Private room,2009,831.0,166.0,3,0,0.74,5.0,1,370
unconfirmed,Manhattan,Greenwich Village,40.72617,-73.99658,False,strict,Private room,2016,872.0,174.0,1,2,0.05,4.0,1,-9
verified,Manhattan,Upper East Side,40.77687,-73.9546,True,moderate,Private room,2017,938.0,188.0,2,1,0.03,5.0,1,172
verified,Brooklyn,Greenpoint,40.72341,-73.94061,True,strict,Private room,2013,54.0,11.0,3,4,0.3,2.0,1,322
verified,Manhattan,Harlem,40.83141,-73.94722,False,strict,Private room,2017,902.0,180.0,5,31,0.88,5.0,3,167
verified,Manhattan,Chelsea,40.74664,-74.00165,False,strict,Entire home/apt,2010,288.0,58.0,90,2,0.06,2.0,1,24
verified,Queens,Astoria,40.76437,-73.91304,True,flexible,Private room,2009,883.0,177.0,2,37,1.03,1.0,2,359
verified,Queens,Astoria,40.76764,-73.91633,True,strict,Private room,2018,407.0,81.0,4,28,0.74,3.0,1,44
unconfirmed,Brooklyn,Williamsburg,40.70806,-73.94224,False,moderate,Private room,2007,370.0,74.0,3,1,0.05,5.0,1,41
unconfirmed,Manhattan,East Village,40.72791,-73.98916,True,strict,Entire home/apt,2010,1037.0,207.0,4,3,0.1,5.0,1,264
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68604,-73.91924,True,moderate,Private room,2005,930.0,186.0,5,39,1.04,5.0,3,303
unconfirmed,Brooklyn,Brooklyn Heights,40.69218,-73.99124,False,moderate,Entire home/apt,2012,593.0,119.0,2,1,0.03,1.0,1,91
unconfirmed,Manhattan,Midtown,40.76102,-73.96555,False,flexible,Entire home/apt,2018,494.0,99.0,30,2,0.05,1.0,52,130
unconfirmed,Brooklyn,Fort Greene,40.68589,-73.97659,False,flexible,Entire home/apt,2010,504.0,101.0,2,13,0.35,3.0,1,360
verified,Queens,Sunnyside,40.7464,-73.91675,True,moderate,Entire home/apt,2004,1076.0,215.0,5,3,0.08,5.0,1,209
unconfirmed,Brooklyn,Cypress Hills,40.68122,-73.90399,False,flexible,Private room,2012,707.0,141.0,6,12,0.96,1.0,2,410
unconfirmed,Manhattan,West Village,40.73564,-73.99823,True,strict,Entire home/apt,2006,1120.0,224.0,3,100,2.62,1.0,1,190
verified,Queens,Astoria,40.76803,-73.93033,False,strict,Entire home/apt,2012,706.0,141.0,21,0,0.74,3.0,1,115
verified,Manhattan,East Village,40.73007,-73.98637,False,strict,Private room,2010,440.0,88.0,1,2,0.05,1.0,1,184
verified,Brooklyn,Greenpoint,40.73333,-73.95699,False,strict,Entire home/apt,2013,780.0,156.0,2,87,2.33,5.0,4,183
unconfirmed,Manhattan,West Village,40.73745,-74.00725,False,moderate,Entire home/apt,2018,635.0,127.0,1,197,5.24,2.0,3,369
unconfirmed,Brooklyn,Williamsburg,40.71968,-73.94368,True,strict,Entire home/apt,2022,170.0,34.0,3,2,0.14,1.0,1,217
